trade_date,close,turnover_rate,pe,pb,ps,dv_ratio,total_mv
20150306,13.44,0.5663,10.0815,1.2116,2.9422,0.9921,15355058.59
20150309,14.15,2.2419,10.614,1.2756,3.0976,0.9423,16166226.12
20150310,13.77,1.4087,10.329,1.2413,3.0144,0.9683,15732080.12
20150311,13.86,0.9183,10.3965,1.2494,3.0341,0.962,15834904.17
20150312,14.6,3.36,10.9516,1.3161,3.1961,0.9132,16680346.39
20150313,14.99,3.2165,8.6486,1.3078,2.333,0.8895,17125917.29
20150316,15.41,2.2553,8.8909,1.3445,2.3984,0.8652,17605762.87
20150317,15.4,1.9924,8.8851,1.3436,2.3968,0.8658,17594337.97
20150318,15.51,1.8614,8.9486,1.3532,2.4139,0.8597,17720011.81
20150319,15.19,1.6065,8.764,1.3253,2.3641,0.8778,17354415.18
20150320,15.32,2.0092,8.839,1.3366,2.3844,0.8703,17502938.81
20150323,15.43,1.8116,8.9024,1.3462,2.4015,0.8641,17628612.66
20150324,15.35,1.5851,8.8563,1.3392,2.389,0.8686,17537213.5
20150325,14.91,1.6179,8.6024,1.3009,2.3206,0.8943,17034518.13
20150326,15.11,1.5126,8.7178,1.3183,2.3517,0.8824,17263016.02
20150327,15.08,1.065,8.7005,1.3157,2.347,0.8842,17228741.34
20150330,15.66,2.6255,9.0351,1.3663,2.4373,0.8514,17891385.24
20150331,15.75,2.7786,9.0871,1.3741,2.4513,0.8466,17994209.29
20150401,15.96,1.6706,9.2082,1.3925,2.484,0.8354,18234132.08
20150402,15.8,1.4292,9.1159,1.3785,2.4591,0.8439,18051333.76
20150403,15.85,1.4588,9.1448,1.3829,2.4669,0.8412,18108458.24
20150407,16.81,3.0096,9.6986,1.4666,2.6163,0.7932,19205248.14
20150408,17.92,3.4276,10.3391,1.5635,2.789,0.744,20473411.46
20150409,18,3.2257,10.3852,1.5704,2.8015,0.7407,20564810.62
20150410,19.8,3.3957,11.4237,1.7275,3.0816,0.6734,22621291.68
20150413,16.54,4.0725,11.4514,1.7584,3.0891,0.6718,22676131.17
20150414,16.3,2.0945,11.2853,1.7329,3.0443,0.6817,22347094.2
